Language of Original Document,Document Type,Year,Authors,Title,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Source,EID
English,Article,2015,"Chiou Y.-C., Fu C.",Modeling crash frequency and severity with spatiotemporal dependence,Analytic Methods in Accident Research,5-6,,,43,58,,37,10.1016/j.amar.2015.03.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929087929&doi=10.1016%2fj.amar.2015.03.002&partnerID=40&md5=1c0b818edc220cbfe4e318f84a4270b1,"This study proposes a novel multinomial generalized Poisson model with error components and spatiotemporal dependence (ST-EMGP) to analyze multi-period crash frequency and severity data. The proposed model not only simultaneously models crash frequency and severity, but also accommodates spatial and temporal dependence (spatiotemporal dependence) by specifying a spatiotemporal function. To demonstrate the applicability of the proposed model, a case study is conducted on five consecutive years' (2004-2008) crash data of Taiwan's Freeway No. 1. Estimation results show that ST-EMGP model performs better than the models without considering spatiotemporal dependence in terms of adjusted likelihood ratio index, consistent Akaike information criterion and log-likelihood test. Additionally, the estimated ST-EMGP model shows that spatial and temporal dependences exist and correlate mutually. Spatial dependence may overstate its impact magnitude, but underestimate its impact range when temporal dependence is ignored. According to the distribution and regression results of spatiotemporal effects, temporal effects are higher in crash frequency and are mainly affected by traffic characteristics; while spatial effects are higher in severe crash severity levels and are mainly affected by geometric configuration. Obviously, the proposed model can successfully elucidate the sources of spatiotemporal dependence as well as their effects on crash frequency and severity. © 2015 Elsevier Ltd. All rights reserved.",Scopus,2-s2.0-84929087929
Portuguese,Article,2010,"De Souza S.E., Sansigolo C.A., Furtado E.L., De Jesus Jr. W.C., Oliveira R.R.",Influence of the basal canker on Eucalyptus grandis wood properties and kraft pulping [Influência do cancro basal em Eucalyptus grandis nas propriedades da madeira e polpação kraft],Scientia Forestalis/Forest Sciences,,88,,547,557,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952211368&partnerID=40&md5=4fb4bad842f473c4013ac693e20d0c5c,"The objective of this research is to assess the influences of basal canker on wood properties for the kraft pulp production. The material consisted of seeded E. grandis trees classified into 4 levels of basal canker severity (0, 1, 2 and 3) and installed in three soil types classified by texture (AQ1 and AQ2 - 10 to 15% clay, and LEm2 - 26 to 35 clay). The sampling consisted of randomly selecting five trees for each for each canker severity level and soil type, totaling 60 trees (4 canker levels x 3 soil types x 5 trees). These trees were fallen and cut into sections at 0, 25, 50, 75 and 100% of the commercial height for the collection of disk and logs of wood. The results showed that the soil texture influences in the Eucalyptus canker severity and this fact should be considered when assessing the wood properties and their final destination. The texture of the soil and the severe levels of basal canker influence the wood properties, and therefore the kraft pulping.",Scopus,2-s2.0-79952211368
English,Article,2011,"El-Basyouny K., Sayed T.",A full Bayes multivariate intervention model with random parameters among matched pairs for before-after safety evaluation,Accident Analysis and Prevention,43,1,,87,94,,64,10.1016/j.aap.2010.07.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650020622&doi=10.1016%2fj.aap.2010.07.015&partnerID=40&md5=1871be3a0cd37094b232dddce0aca50e,"The objective of this study is to evaluate the safety performance of a sample of intersections that have been improved with the implementation of certain safety countermeasures in the Greater Vancouver area. A full Bayes approach is utilized to determine the effectiveness of the improvements using a before-after design with matched (yoked) comparison groups. A multivariate Poisson-lognormal intervention model is used for the analysis of crash counts by severity levels. The model is extended to incorporate random parameters to account for the correlation between sites within comparison-treatment pairs. The full Bayes analysis revealed that incorporating such design features as matched comparison groups in the specification of safety performance functions can significantly improve the fit, while reducing the estimates of the extra-Poisson variation. As well, such extended models can be used to account for heterogeneity due to unobserved road geometrics, traffic characteristics, environmental factors and driver behavior. The results showed that the overall odds ratios for injuries and fatalities (I + F) and property damage only (PDO) imply significant reductions in predicted crash counts of 23% and 15%, respectively. The corresponding credible intervals were (12%, 33%) and (6%, 24%) at the 0.95 confidence level. The majority of the site-level odds ratio exhibited reductions in both I + F and PDO predicted crash counts. However, only some of these reductions were significant. As well, the effectiveness of the treatment seems to vary by severity level from one location to another. For I + F, the crash reduction factors were 29%, 15% and 21% for improving signal visibility, left turn phase improvement and left turn lane installation, respectively. The corresponding crash reduction factors for PDO were 21%, 4% and 20%, respectively. © 2010 Elsevier Ltd.",Scopus,2-s2.0-78650020622
English,Article,2007,"Augustin A., Sahel J.-A., Bandello F., Dardennes R., Maurel F., Negrini C., Hieke K., Berdeaux G., Chaine G., Weber M., Quentel G., Cohen S.Y., Mauget-Faysse M., Brasseur G., Korobelnik J.-F., Benchaboune M., Charlin J.-F., Weinhold K., Kaut S., Hyppa M., Jurgeit-Wippermann A., Incorvaia C., Polito A., Menchini U., Capobianco B., Boscia F., Malerba E., Setaccioli M., Varano M., Schiano-Lomoriello D.",Anxiety and depression prevalence rates in age-related macular degeneration,Investigative Ophthalmology and Visual Science,48,4,,1498,1503,,84,10.1167/iovs.06-0761,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248355564&doi=10.1167%2fiovs.06-0761&partnerID=40&md5=7e4a318f44b798237fb961a3d3915338,"PURPOSE. To estimate the prevalence rates of depression and anxiety in patients with wet age-related macular degeneration (AMD) and the relationship with visual acuity and to develop a simple algorithm for depression screening. METHODS. This cross-sectional, prospective, observational, multicenter study was performed in France, Germany, and Italy. Retina specialists at 10 centers per country each enrolled 12 consecutive patients with wet ARMD. Patients were stratified into four severity groups by using best eye (BE) and worst eye (WE) visual acuity (VA) thresholds (BE:VA 20/40 and WE:VA 20/200). Patients rated themselves on the Hospital Anxiety and Depression Scale (HADS). Analysis of variance was performed to estimate the effect of VA severity levels on HADS scores adjusted on age, gender, and country. RESULTS. Patients (females 60%) were recruited, with a mean age of 77 years and 2.3 years' disease duration. Mean BE:VA at inclusion was 0.49 logMar (logarithm of the minimum angled of resolution) and WE:VA 1.0 logMar. The prevalence of severe depression increased from 0% (BE:VA ≥ 20/40+WE:VA ≥ 20/200) to 7.6% (BE:VA < 20/40+WE:VA < 20/200), whereas anxiety was unrelated to VA loss. Moreover, total depression scores were strongly associated with VA severity (P = 0.006), but not total anxiety scores (P = 0.840). Responses to two HADS items (""I still enjoy things I used to enjoy""; ""I can enjoy a good book or radio or television program"") identified 95% of severely to moderately depressed patients. CONCLUSIONS. Self-rated depression in patients with AMD was associated with VA severity level. It should, therefore, be relatively easy for ophthalmologists to implement the screening procedure and refer identified patients to psychiatrists for proper assessment and treatment. Copyright © Association for Research in Vision and Ophthalmology.",Scopus,2-s2.0-34248355564
English,Article,2021,"Fischer M., Pikalo J., Beer M., Blome S.",Stability of African swine fever virus on spiked spray-dried porcine plasma,Transboundary and Emerging Diseases,,,,,,,,10.1111/tbed.14192,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108805603&doi=10.1111%2ftbed.14192&partnerID=40&md5=322767416e8897ac484246b4e0cd889f,"African swine fever (ASF) is a viral disease that affects members of the Suidae family. The notifiable disease is considered a major threat to the pig industry, animal health, and food security worldwide. According to the European Food Safety Authority, ASF virus (ASFV) survival and transmission in feed and feed materials is a major research gap. Against this background, the objective of this study was to determine the survival of ASFV on spiked spray-dried porcine plasma (SDPP) when stored at two different temperatures. To this means, commercial SDPP granules were contaminated with high titers of ASFV in a worst-case external contamination scenario. Three samples per time point and temperature condition were subjected to blind passaging on macrophage cultures and subsequent haemadsorption test to determine residual infectivity. In addition, viral genome was detected by real-time PCR. The results indicate that heavily contaminated SDPP stored at 4°C remains infectious for at least 5 weeks. In contrast, spiked SDPP stored at room temperature displayed a distinct ASFV titer reduction after 1 week (>2.8 log levels) and complete inactivation after 2 weeks (>5.7 log levels). In conclusion, the residual risk of ASFV transmission through externally contaminated SDPP is low if SDPP is stored at room temperature (21 ± 2°C) for a period of at least 2 weeks before feeding. © 2021 The Authors. Transboundary and Emerging Diseases published by Wiley-VCH GmbH",Scopus,2-s2.0-85108805603
English,Article,2021,"Meurle T., Knaus J., Barbano A., Hoenes K., Spellerberg B., Hessling M.",Photoinactivation of staphylococci with 405 nm light in a trachea model with saliva substitute at 37◦ c,Healthcare (Switzerland),9,3,310,,,,,10.3390/healthcare9030310,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104416100&doi=10.3390%2fhealthcare9030310&partnerID=40&md5=a0195a5dbd14864531366d903b545484,"The globally observed rise in bacterial resistance against antibiotics has increased the need for alternatives to antibiotic treatments. The most prominent and important pathogen bacteria are the ESKAPE pathogens, which include among others Staphylococcus aureus, Klebsiella pneumoniae and Acinetobacter baumannii. These species cause ventilator-associated pneumonia (VAP), which accounts for 24% of all nosocomial infections. In this study we tested the efficacy of photoinactivation with 405 nm violet light under conditions comparable to an intubated patient with artificial saliva for bacterial suspension at 37◦ C. A technical trachea model was developed to investigate the visible light photoinactivation of Staphylococcus carnosus as a non-pathogen surrogate of the ESKAPE pathogen S. aureus (MRSA). The violet light was coupled into the tube with a fiber optic setup. The performed tests proved, that photoinactivation at 37◦ C is more effective with a reduction of almost 3 log levels (99.8%) compared to 25◦ C with a reduction of 1.2 log levels. The substitution of phosphate buffered saline (PBS) by artificial saliva solution slightly increased the efficiency during the experimental course. The increased efficiency might be caused by a less favorable environment for bacteria due to for example the ionic composition. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Scopus,2-s2.0-85104416100
English,Conference Paper,2014,"Hönes K., Stangl F., Sift M., Hessling M.",Visible optical radiation generates bactericidal effect applicable for inactivation of health care associated germs demonstrated by inactivation of E. coli and B. subtilis using 405 nm and 460 nm light emitting diodes,Optics InfoBase Conference Papers,,,,,,9,,10.1117/12.2183903,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019505522&doi=10.1117%2f12.2183903&partnerID=40&md5=23356026357a6796dcb5537d69d602f0,"The Ulm University of Applied Sciences is investigating a technique using visible optical radiation (405 nm and 460 nm) to inactivate health-hazardous bacteria in water. A conceivable application could be point-of-use disinfection implementations in developing countries for safe drinking water supply. Another possible application field could be to provide sterile water in medical institutions like hospitals or dental surgeries where contaminated pipework or long-term disuse often results in higher germ concentrations. Optical radiation for disinfection is presently mostly used in UV wavelength ranges but the possibility of bacterial inactivation with visible light was so far generally disregarded. One of the advantages of visible light is, that instead of mercury arc lamps, light emitting diodes could be used, which are commercially available and therefore cost-efficient concerning the visible light spectrum. Furthermore they inherit a considerable longer life span than UV-C LEDs and are non-hazardous in contrast to mercury arc lamps. Above all there are specific germs, like Bacillus subtilis, which show an inactivation resistance to UV-C wavelengths. Due to the totally different deactivation mechanism even higher disinfection rates are reached, compared to Escherichia coli as a standard laboratory germ. At 460 nm a reduction of three log-levels appeared with Bacillus subtilis and a half log-level with Escherichia coli both at a dose of about 300 J/cm2. With the more efficient wavelength of 405 nm four and a half loglevels are reached with Bacillus subtilis and one and a half log-level with Escherichia coli also both at a dose of about 300 J/cm2. In addition the employed optical setup, which delivered a homogeneous illumination and skirts the need of a stirring technique to compensate irregularities, was an important improvement compared to previous published setups. Evaluated by optical simulation in ZEMAX® the designed optical element provided proven homogeneity distributions with maximum variation of ± 10%. © 2015 SPIE-OSA.",Scopus,2-s2.0-85019505522
English,Article,2017,"Echeverría L.E., Rojas L.Z., Calvo L.S., Roa Z.M., Rueda-Ochoa O.L., Morillo C.A., Muka T., Franco O.H.",Profiles of cardiovascular biomarkers according to severity stages of Chagas cardiomyopathy,International Journal of Cardiology,227,,,577,582,,12,10.1016/j.ijcard.2016.10.098,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003968600&doi=10.1016%2fj.ijcard.2016.10.098&partnerID=40&md5=2aa993fe60e047fdf6b086022a69bfd0,"Background/objectives Up 30 to 40% of Chagas patients exhibit cardiomyopathy with different degrees of cardiac involvement. Biomarkers may help in differentiation of the severity of Chagas cardiomyopathy (CCM). This study sought to examine the diagnostic value of a panel of biomarkers to distinguish the severity of (CCM). Methods 100 patients with CCM were included in this cross-sectional study. Based on electrocardiogram and echocardiogram, CCM patients were classified in three stages according to disease's severity. Levels of high-sensitivity cardiac troponin T (Hs-cTnT), N-terminal pro B-type natriuretic peptide (NT-proBNP), galectin-3 (Gal-3), neutrophil gelatinase-associated lipocalin (NGAL), soluble ST2 (sST2) and cystatin-c (Cys-c) were measured. Logistic regression models were used to assess the association between levels of natural log-transformed values of biomarkers and stages C/D versus B. We also calculated the area under curve (AUC) for each of the models. Results In models adjusted for age, sex, body mass index, kidney function and medication use, increased levels of NT-proBNP (per 1 unit natural log-transformed values, odds ratio (OR) = 5.55; 95CI%:1.65–18.72) and Hs-cTnT (per 1 unit natural log-transformed values, OR = 7.11; 95CI%:1.41–35.90) showed significant association with the severity of CCM per 1 unit increase of biomarkers. The accuracy of NT-proBNP and Hs-cTnT for diagnosis of the severity of CCM was high: AUC of 0.968 and 0.956 respectively. No significant difference was found in the AUC between NT-proBNP and Hs-cTnT. No association was found between Gal-3, NGAL, sST2 and Cys-C and severity of CCM. Conclusions NT-proBNP and Hs-cTnT have both same diagnostic value in distinguishing severity of CCM. © 2016",Scopus,2-s2.0-85003968600
English,Article,2005,Davradakis E.,Macroeconomic fundamentals and exchange rates: A non-parametric cointegration analysis,Applied Financial Economics,15,7,,439,446,,5,10.1080/09603100500056593,https://www.scopus.com/inward/record.uri?eid=2-s2.0-17744390169&doi=10.1080%2f09603100500056593&partnerID=40&md5=81a6c315b3c23c5dce73f1ff5a893552,"This paper examines in a non-parametric setup whether a long-run relationship exists between monetary fundamentals and the dollar spot exchange rates for 19 countries. Although the Johansen's parametric approach failed to retrieve a long-relationship for any of the countries considered, the Bierens (1997a) non-parametric approach suggests that there is one cointegrating relationship for the majority of the countries considered. In addition, the [1, -1] cointegrating vector between the fundamentals and the log-level of the dollar exchange rate could not be rejected in the non-parametric formulation. © 2005 Taylor & Francis Group Ltd.",Scopus,2-s2.0-17744390169
English,Article,1992,"Wang P., Yip C.K.",Examining the long-run effect of money on economic growth,Journal of Macroeconomics,14,2,,359,369,,22,10.1016/0164-0704(92)90050-I,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38249009000&doi=10.1016%2f0164-0704%2892%2990050-I&partnerID=40&md5=d1ea02a0bd7c04023793db0aed6a216d,"Christiano and Ljungqvist (1988) find a statistically significant Granger-causal relation between money and output when data are measured in log levels, but not when they use data in log differences. To resolve this puzzle, we develop an endogenous growth model with money to study the long-run interactions between real and monetary sectors. Money is regarded as a Hicks-neutral technological factor that improves the efficiency of goods production. We examine the effects of anticipated inflation on the growth rates of real macroeconomic variables and find that money is ""superneutral"" in the growth rate sense. © 1992.",Scopus,2-s2.0-38249009000
English,Article,2012,"Amacher G.S., Ollikainen M., Koskela E.",Corruption and forest concessions,Journal of Environmental Economics and Management,63,1,,92,104,,35,10.1016/j.jeem.2011.05.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866557492&doi=10.1016%2fj.jeem.2011.05.007&partnerID=40&md5=3f7011f326777cd834790cdbbe9402b6,"We examine how corruption impacts a central government's application of concession policy instruments consisting of royalty rates, concession size, environmentally sensitive logging levels, and enforcement. Harvesters have incentives to illegally log by taking more volume than is allowed, high grading through removal of only the highest valued and best formed trees, and shirking environmentally sensitive logging requirements, all of which reduce public goods produced from native tropical forests. Corruption is introduced through logging inspectors who can be bribed by harvesters to avoid fines associated with illegal logging. Both the theory and a simulation are used to compare policy design under corruption and no corruption. © 2011.",Scopus,2-s2.0-84866557492
English,Article,2018,"Ye X., Wang K., Zou Y., Lord D.",A semi-nonparametric Poisson regression model for analyzing motor vehicle crash data,PLoS ONE,13,5,e0197338,,,,36,10.1371/journal.pone.0197338,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047557337&doi=10.1371%2fjournal.pone.0197338&partnerID=40&md5=a70c3a80d9e716842be348bb67412ac2,"This paper develops a semi-nonparametric Poisson regression model to analyze motor vehicle crash frequency data collected from rural multilane highway segments in California, US. Motor vehicle crash frequency on rural highway is a topic of interest in the area of transportation safety due to higher driving speeds and the resultant severity level. Unlike the traditional Negative Binomial (NB) model, the semi-nonparametric Poisson regression model can accommodate an unobserved heterogeneity following a highly flexible semi-nonparametric (SNP) distribution. Simulation experiments are conducted to demonstrate that the SNP distribution can well mimic a large family of distributions, including normal distributions, log-gamma distributions, bimodal and trimodal distributions. Empirical estimation results show that such flexibility offered by the SNP distribution can greatly improve model precision and the overall goodness-of-fit. The semi-nonparametric distribution can provide a better understanding of crash data structure through its ability to capture potential multimodality in the distribution of unobserved heterogeneity. When estimated coefficients in empirical models are compared, SNP and NB models are found to have a substantially different coefficient for the dummy variable indicating the lane width. The SNP model with better statistical performance suggests that the NB model overestimates the effect of lane width on crash frequency reduction by 83.1%. © 2018 Ye et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Scopus,2-s2.0-85047557337
English,Article,1995,"Chakraborty S., Smyth G.K.",A Stochastic Model Incorporating the Effect of Weather Conditions on Anthracnose Development in Stylosanthes scabra,Journal of Phytopathology,143,8,,495,499,,5,10.1111/j.1439-0434.1995.tb04561.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-4444300374&doi=10.1111%2fj.1439-0434.1995.tb04561.x&partnerID=40&md5=cbcdeaf273893c1f689964eb04c7ddaa,"Spatial and temporal progress of anthracnose caused by Colletotrichum gloeosporioides in quantitatively resistant accessions of the tropical pasture legume Stylosanthes scabra were studied in a field experiment at the Southedge Research Station, Queensland, Australia. In a previously published work a conditional ordinal logistic regression model was developed to explain the probability of a plant developing a given disease severity level, depending on its previous disease state and that of its neighbours. In the present study this model is augmented to incorporate the effects of three weather variables which were measured daily during a growing season. Two approaches were used: (a) threshold values for relative humidity (RH), rainfall and net evaporation were used to classify days as suitable or unsuitable for anthracnose growth; (b) days were assumed to vary continuously in their rate of anthracnose growth depending on the numerical values of the weather variables. High 9am RH, low net evaporation and low 9am temperatures are significantly associated with anthracnose growth. Net evaporation proved to be a better index than rainfall and heavy rainfall was not conducive to high levels of anthracnose; however, rainfall was useful once evaporation was taken into account. The effect of 9am RH can be described either by a threshold value around 70% or by a quadratic function. A two‐variable model with net evaporation and log(rain+1) explains 97.6% of the available deviance. Copyright © 1995, Wiley Blackwell. All rights reserved",Scopus,2-s2.0-4444300374
English,Article,1987,"Robinson Steven W., Bizanti M.S.",PC PROGRAM CALCULATES WELL BORE TRAJECTORY.,Oil and Gas Journal,85,28,,81,84,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023384666&partnerID=40&md5=cdb60037df8d2d6c18dd79d6e50018c0,"A basic program for the IBM personal computer (PC) calculates the trajectory of a wellbore. The program employs the three most widely used methods of solution: tangential, angle-averaging, and radius of curvature. When using the program, one can easily determine the relative accuracy of each method. The program calculates the following: true vertical depth (TVD), north or south departure, east or west departure, total departure, departure angle, and dog log severity. The input data include measured depth of survey, hole inclination angle (degrees), and the azimuth. The corresponding variables are DEPTH(I), IN(I), and A(I), respectively. The string variable is used for the azimuth to distinguish between north and south or east and west departures which is determined with LEFT and RIGHT functions and assigned to the variables NS and EW. The azimuth angle is then assigned to A(I). The survey interval is assigned to the variable MD(I).",Scopus,2-s2.0-0023384666
English,Article,2007,"Lindblad M., Lindmark H., Thisted Lambertz S., Lindqvist R.",Microbiological baseline study of swine carcasses at Swedish slaughterhouses,Journal of Food Protection,70,8,,1790,1797,,33,10.4315/0362-028X-70.8.1790,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547753414&doi=10.4315%2f0362-028X-70.8.1790&partnerID=40&md5=323d5917d1b073a1c7c2fe6484d4db99,"This 13-month survey was conducted to estimate the prevalence and counts of foodborne pathogenic bacteria and indicator bacteria on swine carcasses in Sweden. A total of 541 swine carcasses were sampled by swabbing prechill at the 10 largest slaughterhouses in Sweden. Pathogenic Yersinia enterocolitica was detected by PCR in 16% of the samples. The probability of finding Y. enterocolitica increased with increasing counts of Escherichia coli. No samples were positive for Salmonella. The prevalences of Campylobacter, Listeria monocytogenes, and verocytotoxin-producing E. coli were low (1, 2, and 1%, respectively). None of the verocytotoxin-positive enrichments, as determined by a reverse passive latex agglutination assay, tested positive for the virulence genes eaeA or hlyA by PCR. Coagulase-positive staphylococci, E. coli, and Enterobacteriaceae were recovered from 30, 57, and 87% of the samples, respectively, usually at low levels (95th percentiles, 0.79, 1.09, and 1.30 log CPU/cm2, respectively). The mean log level of Enterobacteriaceae was 0.35 log CPU/cm2 higher than that of E. coli on carcasses positive for both bacteria. The mean log level of aerobic microorganisms was 3.48 log CPU/cm2, and the 95th percentile was 4.51 log CPU/cm2. These data may be useful for risk assessment purposes and can serve as a basis for risk management actions, such as the use of E. coli as an alternative indicator organism for process hygiene control. Copyright ©, International Association for Food Protection.",Scopus,2-s2.0-34547753414
English,Article,2019,"Zeng Y., Chen J., Shang W., Chen T.-H.P.",Studying the characteristics of logging practices in mobile apps: a case study on F-Droid,Empirical Software Engineering,24,6,,3394,3434,,12,10.1007/s10664-019-09687-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061227403&doi=10.1007%2fs10664-019-09687-9&partnerID=40&md5=e7e8e8f271b8fd2e1d0d11ba2ce4e082,"Logging is a common practice in software engineering. Prior research has investigated the characteristics of logging practices in system software (e.g., web servers or databases) as well as desktop applications. However, despite the popularity of mobile apps, little is known about their logging practices. In this paper, we sought to study logging practices in mobile apps. In particular, we conduct a case study on 1,444 open source Android apps in the F-Droid repository. Through a quantitative study, we find that although mobile app logging is less pervasive than server and desktop applications, logging is leveraged in almost all studied apps. However, we find that there exist considerable differences between the logging practices of mobile apps and the logging practices in server and desktop applications observed by prior studies. In order to further understand such differences, we conduct a firehouse email interview and a qualitative annotation on the rationale of using logs in mobile app development. By comparing the logging level of each logging statement with developers’ rationale of using the logs, we find that all too often (35.4%), the chosen logging level and the rationale are inconsistent. Such inconsistency may prevent the useful runtime information to be recorded or may generate unnecessary logs that may cause performance overhead. Finally, to understand the magnitude of such performance overhead, we conduct a performance evaluation between generating all the logs and not generating any logs in eight mobile apps. In general, we observe a statistically significant performance overhead based on various performance metrics (response time, CPU and battery consumption). In addition, we find that if the performance overhead of logging is significantly observed in an app, disabling the unnecessary logs indeed provides a statistically significant performance improvement. Our results show the need for a systematic guidance and automated tool support to assist in mobile logging practices. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Scopus,2-s2.0-85061227403
English,Article,2010,"Ciafaloni P., Urbano A.",Infrared weak corrections to strongly interacting gauge boson scattering,"Physical Review D - Particles, Fields, Gravitation and Cosmology",81,8,85033,,,,7,10.1103/PhysRevD.81.085033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952970420&doi=10.1103%2fPhysRevD.81.085033&partnerID=40&md5=29ae8e6078de7c621fa57de0c0a59caf,"We evaluate the impact of electroweak corrections of infrared origin on strongly interacting longitudinal gauge boson scattering, calculating all-order resummed expressions at the double log level. As a working example, we consider the standard model with a heavy Higgs. At energies typical of forthcoming experiments (LHC, International Linear Collider, Compact Linear Collider), the corrections are in the 10%-40% range, with the relative sign depending on the initial state considered and on whether or not additional gauge boson emission is included. We conclude that the effect of radiative electroweak corrections should be included in the analysis of longitudinal gauge boson scattering. © 2010 The American Physical Society.",Scopus,2-s2.0-77952970420
English,Article,2001,"Ericsson N.R., Irons J.S., Tryon R.W.",Output and inflation in the long run,Journal of Applied Econometrics,16,3,,241,253,,46,10.1002/jae.614,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035626701&doi=10.1002%2fjae.614&partnerID=40&md5=db37a857ffbd171f245fc77b6b189022,"Cross-country regressions explaining output growth often obtain a negative effect from inflation. However, that result is not robust, due to the selection of countries in sample, temporal aggregation, and omission of consequential variables in levels. This paper demonstrates some implications of these mis-specifications, both analytically and empirically. In particular, for most G-7 countries, annual time series of inflation and the log-level of output are cointegrated, thus rejecting the existence of a long-run relation between output growth and inflation. Typically, output and inflation are positively related in these cointegrating relationships: a price markup model helps to interpret this surprising feature. Copyright © 2001 John Wiley & Sons, Ltd.",Scopus,2-s2.0-0035626701
English,Article,1992,Lewbel A.,Aggregation with Log-Linear Models,Review of Economic Studies,59,3,,635,642,,40,10.2307/2297869,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963002149&doi=10.2307%2f2297869&partnerID=40&md5=210e36c1eeec084cf61b4bea101436bb,"When economic theory suggests a log-linear specification for individual agents, e.g., Cobb- Douglas production, it is common to estimate the same log-linear model with aggregate data, invoking a representative agent assumption and thereby assuming away aggregation errors. This paper gives necessary and sufficient restrictions on the distribution of agents in an economy for log-linear agent models to aggregate into log-linear macro models, and discusses the aggregation bias resulting from violation of these restrictions. Theorems, tests, economic rationales, and empirical results are given. Included are connections to random walks and to cointegration. Analogous results for log-level models are derived. © 1992 The Review of Economic Studies Limited.",Scopus,2-s2.0-84963002149
English,Article,1988,"Raj B., Siklos P.L.",SOME QUALMS ABOUT THE TEST OF THE INSTITUTIONALIST HYPOTHESIS OF THE LONG‐RUN BEHAVIOR OF VELOCITY,Economic Inquiry,26,3,,537,545,,7,10.1111/j.1465-7295.1988.tb01515.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977409186&doi=10.1111%2fj.1465-7295.1988.tb01515.x&partnerID=40&md5=9d3a91f5a1637dbf1c09b68e3b78f046,"This paper expresses econometric qualms about Bordo and Jonung's [1981] analysis of long‐run velocity. They did not recognize that, for U.S. and Canadian data, the log of velocity has a unit root. Hence, estimation of a log level regression may produce spurious regressions. When Bordo and Jonung's velocity equation is reestimated in rate of change form, permanent income is significant, contrary to their earlier conclusion. Moreover, using this approach gives a stronger result for one of the institutional variables in the velocity function, in the sense that the remaining variables become more significant. Copyright © 1988, Wiley Blackwell. All rights reserved",Scopus,2-s2.0-84977409186
English,Article,2020,"Liu Q., Fang X., Tokuno S., Chung U., Chen X., Dai X., Liu X., Xu F., Wang B., Peng P.",A web visualization tool using T cell subsets as the predictor to evaluate COVID-19 patient's severity,PLoS ONE,15,9 September,e0239695,,,,1,10.1371/journal.pone.0239695,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091619335&doi=10.1371%2fjournal.pone.0239695&partnerID=40&md5=66b53ec506b566af559ea793e0379c1e,"Wuhan, China was the epicenter of the 2019 coronavirus outbreak. As a designated hospital for COVID-19, Wuhan Pulmonary Hospital has received over 700 COVID-19 patients. With the COVID-19 becoming a pandemic all over the world, we aim to share our epidemiological and clinical findings with the global community. We studied 340 confirmed COVID-19 patients with clear clinical outcomes from Wuhan Pulmonary Hospital, including 310 discharged cases and 30 death cases. We analyzed their demographic, epidemiological, clinical and laboratory data and implemented our findings into an interactive, free access web application to evaluate COVID-19 patient's severity level. Our results show that baseline T cell subsets results differed significantly between the discharged cases and the death cases in Mann Whitney U test: Total T cells (p < 0.001), Helper T cells (p <0.001), Suppressor T cells (p <0.001), and TH/TSC (Helper/Suppressor ratio, p<0.001). Multivariate logistic regression model with death or discharge as the outcome resulted in the following significant predictors: Age (OR 1.05, 95% CI, 1.00 to 1.10), underlying disease status (OR 3.42, 95% CI, 1.30 to 9.95), Helper T cells on the log scale (OR 0.22, 95% CI, 0.12 to 0.40), and TH/TSC on the log scale (OR 4.80, 95% CI, 2.12 to 11.86). The AUC for the logistic regression model is 0.90 (95% CI, 0.84 to 0.95), suggesting the model has a very good predictive power. Our findings suggest that while age and underlying diseases are known risk factors for poor prognosis, patients with a less damaged immune system at the time of hospitalization had higher chance of recovery. Close monitoring of the T cell subsets might provide valuable information of the patient's condition change during the treatment process. Our web visualization application can be used as a supplementary tool for the evaluation. © 2020 Liu et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Scopus,2-s2.0-85091619335
